"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/JPN","JP","Japan","Count_Person","1960","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",93216000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1961","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",94055000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1962","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",94933000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1963","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",95900000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1964","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",96903000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1965","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",97952000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1966","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",98851000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1967","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",99879000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1968","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",101011000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1969","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",102219000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1970","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",103403000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1971","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",105697000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1972","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",107188000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1973","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",108707000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1974","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",110162000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1975","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",111573000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1976","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",112775000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1977","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",113872000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1978","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",114913000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1979","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",115890000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1980","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",116807000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1981","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",117661000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1982","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",118480000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1983","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",119307000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",120083000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",120837000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",121482000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",122069000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",122578000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",123069000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",123478000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",123964000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",124425000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",124829000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1994","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",125178000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1995","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",125472000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1996","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",125757000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1997","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126057000,"Total Population"
"country/JPN","JP","Japan","Count_Person","1998","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","","",126400000,"Total Population"
