Location	Rate	Vehicles	Population	Year	Ref
 China	310	440,000,000	1,419,321,278	2024	[57]
 United States	850	283,400,986	333,287,557	2022	[11][12]
 India	158	210,023,289	1,328,024,498	2015	[30]
 Brazil	462	93,867,016	203,218,114	2016	[30]
 Japan	670	82,876,295	123,753,041	2024	[24]
 Mexico	449	58,199,293	129,739,759	2023	[43]
 Russia	364	53,000,000	145,440,501	2023	[50]
 Germany	627	52,714,433	84,086,227	2022	[19]
 Italy	753	44,888,074	59,619,115	2022	[19]
 France	671	44,444,965	66,277,409	2022	[19]
 Thailand	625	44,300,000	71,668,011	2024	[26]
 United Kingdom	603	41,700,000	69,138,192	2024	[27]
 Spain	642	30,724,166	47,828,383	2022	[19]
 Turkey	354	30,261,176	85,372,377	2023	[51][52]
 Pakistan	121	30,000,000	247,504,496	2023	[79]
 Canada	677	26,302,526	38,831,259	2022	[23]
 South Korea	501	25,949,201	51,748,739	2023	[39]
 Poland	671	25,757,062	38,385,739	2022	[19]
 Malaysia	678	23,822,322	35,126,298	2023	[22]
 Taiwan	959	22,597,694	23,558,333	2021	[9]
 Argentina	493	21,633,587	43,900,314	2016	[30]
 Australia	776	20,142,942	25,956,418	2021	[17]
 Iran	182	15,963,000	87,723,443	2020	[42]
 Philippines	122	13,889,136	113,964,339	2022	[78]
 Nigeria	59	13,500,000	218,529,287	2021	[85]
 Colombia	280	13,477,996	48,131,078	2017	[30]
 South Africa	208	13,304,703	64,007,187	2024	[65]
 Ukraine	237	10,500,000	44,298,640	2021	[64]
 Netherlands	562	10,062,194	17,904,421	2022	[19]
 Egypt	87	9,950,000	114,535,772	2023	[83]
 Syria	466	9,810,000	21,049,429	2020	[42]
 Romania	477	9,148,003	19,166,773	2022	[19]
 Sri Lanka	366	8,352,213	22,834,965	2022	[49]
 Algeria	176	7,731,664	44,042,091	2020	[68]
 Portugal	691	7,198,871	10,417,073	2022	[19]
 Myanmar	132	7,138,410	54,133,798	2022	[8]
 Czech Republic	664	7,082,522	10,673,213	2022	[19]
 Belgium	599	6,977,664	11,641,820	2022	[19]
 Saudi Arabia	224	6,895,799	30,717,809	2016	[30]
 Indonesia	23	6,537,000	281,190,067	2023	[8]
 Chile	312	6,100,000	19,553,037	2022	[56]
 Bangladesh	34	5,982,765	173,562,364	2024	[90]
 Dominican Republic	513	5,810,888	11,331,266	2023	[38]
 Greece	555	5,777,241	10,412,480	2022	[19]
 Sweden	542	5,682,251	10,487,338	2022	[19]
 Peru	182	5,604,789	30,866,494	2016	[30]
  Switzerland	603	5,301,789	8,792,182	2022	[19]
 Austria	569	5,185,006	9,104,772	2023	[32][33]
 Kazakhstan	250	5,085,400	20,330,104	2023	[62]
 New Zealand	934	4,794,156	5,131,735	2022	[10]
 Hungary	492	4,763,466	9,684,306	2022	[19]
 Iraq	112	4,715,000	42,116,605	2020	[42]
 Belarus	470	4,280,031	9,115,680	2023	[41]
 Venezuela	149	4,235,000	28,444,078	2020	[42]
 Finland	752	4,221,852	5,617,311	2024	[20]
 Vietnam	43	4,180,480	98,079,191	2020	[8]
 Morocco	113	4,120,000	36,584,208	2020	[42]
 Israel	439	4,000,000	9,103,151	2022	[45]
 Norway	629	3,469,692	5,519,167	2023	[19]
 United Arab Emirates	376	3,391,125	9,030,873	2016	[30]
 Slovakia	603	3,286,249	5,450,626	2019	[28]
 Libya	463	3,260,000	7,045,399	2020	[42]
 Guatemala	200	3,250,194	16,268,760	2016	[30]
 Denmark	542	3,222,575	5,948,137	2023	[34]
 Laos	412	3,116,550	7,559,008	2022	[8]
 Uzbekistan	87	3,051,734	34,938,956	2022	[82]
 Bulgaria	466	3,006,215	6,447,710	2023	[32][33]
 Kenya	62	2,979,910	48,139,687	2016	[30]
 Ireland	536	2,737,924	5,110,016	2022	[19]
 Costa Rica	514	2,600,000	5,059,988	2021	[37]
 Ecuador	143	2,535,853	17,682,455	2021	[75]
 Kuwait	521	2,522,933	4,838,782	2023	[36]
 Uruguay	738	2,507,116	3,398,968	2020	[21]
 Serbia	360	2,389,105	6,641,197	2023	[32][33]
 Afghanistan	55	2,342,543	42,647,492	2024	[86]
   Nepal	84	2,339,169	27,823,629	2015	[30]
 Tanzania	40	2,163,623	53,824,013	2016	[30]
 Burkina Faso	112	2,106,292	18,777,487	2015	[30]
 Croatia	530	2,070,123	3,907,027	2022	[19]
 Ghana	70	2,066,943	29,356,742	2016	[30]
 Tunisia	175	2,015,601	11,528,674	2016	[30]
 Jordan	173	2,000,000	11,552,876	2024	[69]
 Lebanon	295	1,866,407	6,323,060	2016	[30]
 Lithuania	643	1,811,748	2,816,920	2022	[19]
 Azerbaijan	169	1,738,940	10,318,207	2023	[72]
 Bolivia	153	1,711,005	11,180,020	2016	[30]
 Oman	323	1,704,873	5,281,538	2024	[55]
 Honduras	180	1,694,504	9,412,380	2016	[30]
 Georgia	441	1,680,400	3,807,492	2023	[44]
 Uganda	41	1,594,962	38,799,152	2016	[30]
 Zimbabwe	91	1,467,955	16,069,056	2022	[81]
 Qatar	512	1,330,487	2,599,372	2016	[30]
 Kyrgyzstan	200	1,300,000	6,494,035	2019	[67]
 Panama	320	1,288,573	4,029,087	2016	[30]
 Sudan	30	1,252,740	41,259,892	2016	[30]
 Slovenia	581	1,228,051	2,115,228	2022	[19]
 Ethiopia	10	1,200,110	118,917,672	2020	[93]
 Mongolia	347	1,192,520	3,431,933	2023	[54]
 Chad	74	1,124,000	15,114,655	2016	[30]
 Liberia	248	1,085,075	4,373,044	2012	[30]
 El Salvador	163	1,008,080	6,200,800	2016	[30]
 Estonia	740	998,852	1,350,092	2022	[19]
 Singapore	172	996,732	5,789,090	2023	[70]
 Moldova	323	982,349	3,039,985	2020	[19]
 Bosnia and Herzegovina	282	978,229	3,473,003	2016	[30]
 Hong Kong (China)	124	925,171	7,465,915	2022	[77]
 Ivory Coast	35	905,537	25,989,405	2016	[30]
 Armenia	303	900,692	2,973,841	2024	[59]
 Latvia	463	871,153	1,881,063	2022	[19]
 Albania	309	867,765	2,811,655	2023	[58]
 Zambia	45	853,909	19,059,395	2020	[87]
 Trinidad and Tobago	582	831,803	1,429,189	2015	[30][31]
 Cameroon	32	758,145	23,454,162	2016	[30]
 Bahrain	476	747,350	1,569,666	2023	[40]
 Cyprus	544	724,925	1,331,370	2022	[19]
 Mozambique	26	698,864	27,337,105	2016	[30]
 Botswana	292	653,274	2,234,776	2016	[30]
 Cuba	56	633,369	11,265,612	2016	[30]
 Jamaica	203	575,041	2,839,144	2022	[66]
 Luxembourg	818	550,580	673,036	2024	[14]
 North Macedonia	263	483,482	1,837,114	2022	[32][33]
 Brunei	1,043	475,000	455,370	2022	[8]
 Benin	40	469,761	11,697,842	2016	[30]
 Senegal	32	468,051	14,593,331	2015	[30]
 Kosovo	271	460,105	1,700,031	2023	[61]
 Tajikistan	50	439,972	8,865,631	2016	[30]
 Malta	823	438,567	532,956	2023	[13]
 Niger	21	436,420	20,685,754	2016	[30]
 Namibia	148	418,292	2,506,853	2017	[30]
 Cambodia	21	370,000	17,423,881	2023	[8]
 Mali	19	344,345	18,593,022	2015	[30]
 Iceland	779	306,563	393,396	2024	[16]
 Sierra Leone	41	300,000	7,379,299	2017	[88]
 Palestine	59	268,365	4,521,565	2015	[30]
 Rwanda	20	264,524	13,065,837	2020	[92]
 Bahamas	650	260,000	397,539	2022	[25]
 Guinea	22	259,731	12,073,030	2016	[30]
 Macao (China)	353	251,867	713,912	2023	[53]
 Montenegro	393	242,599	616,695	2023	[32][33]
 Suriname	394	241,391	612,317	2020	[48]
 Madagascar	9.3	236,979	25,426,703	2015	[30]
 Gambia	78	200,000	2,576,010	2021	[84]
 Maldives	250	131,000	524,107	2022	[63]
 Fiji	142	130,000	914,963	2020	[76]
 Guyana	171	128,000	749,257	2010	[71]
 Jersey (UK)	1,234	127,911	103,675	2023	[5]
 Bhutan	162	126,501	780,915	2022	[73]
 Guam (US)	775	125,455	161,808	2019	[18]
 Barbados	425	120,000	282,318	2022	[46]
 Burundi	9.7	111,236	11,506,762	2017	[30]
 Papua New Guinea	11	100,993	8,961,718	2016	[30]
 Andorra	1,214	98,183	80,856	2023	[6]
 Guernsey (UK)	1,389	88,532	63,726	2022	[3]
 Eritrea	23	72,405	3,124,698	2016	[30]
 Isle of Man (UK)	782	65,830	84,166	2023	[15]
 Cape Verde	127	64,955	512,554	2016	[30]
 Togo	8.2	64,118	7,858,289	2016	[30]
 Guinea-Bissau	34	62,239	1,831,894	2016	[30]
 Somalia	4.5	59,457	13,339,491	2014	[30]
 Belize	189	56,094	296,100	2007	[30]
 Antigua and Barbuda	598	54,891	91,846	2020	[29]
 San Marino	1,606	53,940	33,581	2024	[2]
 Gibraltar (UK)	1,293	48,641	37,610	2022	[4]
 Liechtenstein	1,068	42,579	39,870	2024	[7]
 Djibouti	35	40,000	1,137,096	2022	[89]
 Central African Republic	8.1	37,475	4,623,182	2014	[30]
 Saint Lucia	203	35,681	175,646	2016	[30]
 Comoros	47	34,898	741,741	2016	[30]
 São Tomé and Príncipe	165	34,050	206,971	2017	[30]
 North Korea	1.1	30,000	26,498,823	2024	[94]
 Faroe Islands (Denmark)	522	28,562	54,714	2023	[34]
 Grenada	237	27,266	115,130	2016	[30]
 Saint Kitts and Nevis	543	25,374	46,758	2023	[35]
 Samoa	124	25,235	203,499	2016	[30]
 Seychelles	210	23,076	109,821	2016	[30]
 Dominica	271	18,311	67,573	2020	[60]
 Tonga	158	16,717	105,567	2018	[74]
 Micronesia	99	11,014	110,917	2020	[80]
 Solomon Islands	21	11,000	532,968	2010	[91]
 Greenland (Denmark)	126	7,054	55,923	2023	[34]
 Nauru	424	5,000	11,801	2022	[47]
