,Machinery manufacturing,Food & beverage manufacturing,Chemical industry (including petroleum & coal products),"Iron, non-ferrous & metal products manufacturing","Plastic, rubber & leather products manufacturing","Pulp, paper & processed paper products manufacturing",Wood products & furniture industry,"Ceramics, clay & stone products manufacturing",Printing & related industries,Textile industry,Other manufacturing industries
France,1.44132E+11,1.77675E+11,67488351000,64153248000,39530725000,11385241000,14565042000,6042994000,8879130000,3999646000,5584648000
Netherlands,33965474000,39206441000,17373110000,11180090000,5652526000,2171518000,2851414000,2863670000,2115471000,507445000,900713000
Germany,4.6521E+11,1.88107E+11,1.01879E+11,1.36386E+11,59978530000,17686194000,13036767000,16134867000,12016059000,6604912000,17588492000
Italy,2.52529E+11,1.65989E+11,62081342000,1.65717E+11,72113157000,22986380000,36070497000,24954267000,10731368000,22223594000,9886082000
Ireland,7867053000,17420989000,30146529000,2536680000,986845000,187555000,1393632000,1819567000,446956000,218414000,6180350000
Denmark,26548633714,21796807628,21346001818,7943148476,3174677962,706173749,3351096777,2519620450,401307224,884880217,1535635431
Greece,1949746000,11575487000,3814163000,3066394000,875072000,979584000,646491000,1491976000,524610000,528533000,36449000
Portugal,20873930000,15483574000,5251525000,6648249000,5834014000,3501303000,3436392000,3683442000,903133000,3770941000,604002000
Spain,1.07958E+11,1.68576E+11,46041911000,59233503000,30811144000,12969948000,14555596000,16300823000,6081492000,7139391000,3437605000
Belgium,15035107000,43252457000,32582864000,13375372000,6699795000,2069637000,2815777000,4582992000,1341005000,2116685000,497538000
Iceland,0,2300026452,2490109,2130259291,0,0,0,0,0,0,0
Norway,6523044516,24866499983,337213168,2675729379,637734140,292032508,697688539,1559582751,197157325,14849625,158545795
Sweden,34734794933,10770965256,17380288359,7002488939,2678066349,6784207321,4617179060,1572787661,483156774,206883124,563392949
Finland,27535245000,13157784000,9442604000,18517253000,4233843000,10840361000,4872720000,1905439000,889733000,391376000,593711000
Austria,35321808000,22240280000,4049822000,19521476000,7779738000,2973229000,3668124000,3597830000,1880680000,1271552000,1213437000
Estonia,4715120000,2690040000,568819000,1399846000,880190000,234497000,2889312000,407432000,180894000,374743000,144430000
Latvia,282077000,1390298000,56441000,214794000,434821000,72174000,1254793000,114756000,185143000,33397000,21455000
Lithuania,4581510000,6803786000,2806776000,1846647000,1935911000,664597000,4315023000,647667000,434776000,773436000,447299000
Poland,55597461021,70986749671,17236617350,26527168214,22103689784,5064099075,10537556804,8494362395,3044248788,2287618010,922121311
Czechia,77425081744,17404422514,7484392605,16839212092,10250497081,2513823820,3450197505,3474509374,1215752790,1645750206,1399382354
Slovakia,30567020000,4119225000,978000000,6713778000,2690748000,378027000,826425000,1160611000,256792000,198018000,166019000
Hungary,54572612595,15787066917,9503222166,6743544477,4485032655,509981479,873261226,1442600986,904149473,426287283,855831607
Romania,20314400699,17372536438,5265045793,6642183069,4156728327,751281054,2901148647,1838756948,713402877,2031769469,203235491
Bulgaria,4083827586,6435367114,1326843751,2651663253,1333999897,398812761,744363944,799151755,471723591,1119785250,132431742
Albania,48359716,530833070,42826416,159864890,91566683,28576600,65470184,377838972,53289853,104212076,3942757
Slovenia,3103960000,1175495000,154359000,2070160000,620046000,264184000,523607000,183574000,298827000,43168000,68358000
Croatia,3594152000,6043851000,1514027000,2365911000,1534049000,520190000,1351554000,1108673000,1056685000,287258000,130363000
Bosnia and Herzegovina,1304708488,2061250725,933093369,2195863651,833328558,294716310,844741621,389270029,73726247,212515404,64726998
North Macedonia,698291127,959077631,69578712,158083942,55944327,42455120,33352799,79028424,30020062,178535689,0
Montenegro,12820000,355431000,46759000,121075000,24370000,3611000,27265000,38746000,3925000,962000,0
Serbia,4410633562,7127993757,1814876003,3005278256,1526996248,880764606,708495523,902483913,236685367,404880379,49980485
