,"Agriculture, forestry, and fisheries",Ceramics and stone products manufacturing,Chemical industry (including petroleum and coal products),Construction industry,Food and beverage manufacturing,"Iron, non-ferrous, and metal products manufacturing",Machinery manufacturing,Mining and others,Other manufacturing,"Plastic, rubber, and leather products manufacturing",Printing and related industries,"Pulp, paper, and paper products manufacturing",Textile industry,Wood products and furniture manufacturing,sum
France,2015920000,9356671000,19662245000,5013034000,97106585000,1.15E+11,62181324000,366547000,1.77E+11,26795760000,4907018000,12832385000,1521725000,9768952000,5.43528E+11
Netherlands,498581000,2565730000,2009922000,612211000,19701652000,21893148000,15530245000,178372000,45048831000,5228766000,1324107000,2165219000,237909000,1793179000,1.18788E+11
Germany,1969262000,16584092000,25765576000,1593699000,1.30E+11,2.47E+11,1.79E+11,1959731000,3.34E+11,54605901000,8009663000,17836465000,3016911000,13810958000,1.03515E+12
Italy,1381125000,30266035000,23559768000,5147618000,92854627000,2.58E+11,89703115000,1823881000,2.33E+11,46223118000,5825441000,24118346000,13141934000,19804015000,8.44849E+11
Ireland,245947000,770080000,367087000,501203000,8571203000,5303777000,6129891000,27759000,44549209000,839197000,488037000,290400000,143435000,977345000,69204570000
Denmark,1532069550,2423434756,2163964488,780017983,14645789232,18554347125,8983060842,132820197,34210397115,2835744404,43964890,1225105960,429642727,2247624177,90207983446
Greece,99716000,1150008000,1624383000,34552000,4034476000,4582522000,312035000,27249000,10918524000,825763000,242939000,1066998000,171720000,397620000,25488505000
Portugal,886962000,4570237000,2041742000,163673000,9386962000,12367785000,9738740000,28592000,20006935000,3870705000,636513000,2712118000,1524349000,2055192000,69990505000
Spain,5433667000,14989305000,16860069000,1629470000,1.09E+11,95004058000,44824069000,414369000,1.31E+11,26249407000,2176461000,12527014000,2352669000,10243490000,4.72704E+11
Belgium,471484000,4782880000,4505346000,722592000,18101100000,20473867000,4389233000,202228000,57699909000,7008346000,876232000,2690670000,414332000,2031010000,1.24369E+11
Iceland,1537547273,0,206544773,0,547806142,1931332482,0,0,209545182,0,0,0,0,0,4432775852
Norway,1930342940,877060604,811205447,487170017,11300406571,3850899620,1464555003,664808137,15351070743,630335849,58889959,285616466,0,247716373,37960077729
Sweden,66318169,1122357477,1650682737,1746314946,5246315732,14455344373,13310761584,174895024,38748398699,2558085516,112229849,4931766821,74321968,2596417830,86794210725
Finland,289128000,1679359000,7631925000,1140302000,7669781000,24869309000,9569227000,21917000,24352550000,2298910000,474850000,7223018000,187645000,4972148000,92380069000
Austria,200131000,2083288000,1380615000,766375000,17737265000,28997550000,15407516000,23405000,23089171000,5485827000,1025826000,2173426000,903385000,4244196000,1.03518E+11
Estonia,175063000,494361000,361089000,717448000,1683033000,3028498000,1156591000,58245000,4104403000,487890000,91536000,199955000,86210000,1841001000,14485323000
Latvia,48994000,62753000,62829000,65678000,947453000,385695000,123812000,0,580007000,60720000,152613000,92855000,0,1476740000,4060149000
Lithuania,423989000,775372000,497541000,207626000,3843176000,4594756000,1424828000,7839000,7754142000,1403740000,165593000,697863000,253081000,3207882000,25257428000
Poland,981862837,8156052839,6133067150,1210901586,41533898498,39902542936,21702598412,119970937,69606102599,16726650815,1518876266,5686751208,642016514,8880399826,2.22802E+11
Czechia,72775412,3158506454,1879953760,526841527,11580299123,31916119028,29651599401,55817114,48352477171,8873396808,716020413,3091540366,992084942,2235590566,1.43103E+11
Slovakia,11631000,916314000,71025000,174192000,2413372000,17717681000,7086700000,8511000,15980169000,2373303000,202062000,439085000,32168000,628450000,48054663000
Hungary,56619596,1165915179,1562678604,284228485,9910912941,25491348435,13813211596,25808461,38500650630,3439724770,493410579,623092318,93959647,642029623,96103590864
Romania,82216224,2138871773,1046578525,182339540,11221058078,10437611133,5144262230,495261487,23586359804,2711577822,548339499,787443143,534334608,3274234946,62190488812
Bulgaria,46849371,884645670,1014538809,165556805,3778010019,3998684934,1164767354,0,6040785868,926614683,331206667,583526433,117068719,445715312,19497970644
Albania,28586278,218248034,10513447,9782004,390275515,347546959,3442390,0,342819732,21419725,9729476,70120644,15078006,39219007,1506781217
Slovenia,0,146870000,96058000,109708000,851148000,2738052000,1068668000,13456000,1905128000,599702000,231295000,312289000,4413000,428951000,8505738000
Croatia,96131000,888231000,444057000,110063000,3803070000,3188661000,983394000,103397000,6091874000,1100518000,824016000,669644000,186045000,1017612000,19506713000
Bosnia and Herzegovina,8430692,392998880,174202255,56107125,1039465088,2388348688,312085914,13410164,3269614952,553465792,54261364,223943800,28625698,692980988,9207941400
North Macedonia,0,16636447,36456114,0,573917531,233479068,11874130,0,1213578067,52575169,23872532,48602650,2307829,91068296,2304367833
Montenegro,302000,4724000,347000,9244000,227477000,124247000,0,0,211811000,4571000,2965000,4571000,0,44705000,634964000
Serbia,14740358,852133733,809925156,44969634,3262876132,3988114755,1388542964,0,8067515077,1045489685,161917685,930032042,47192968,455617910,21069068099
