Country,Total Energy Consumption
France,23957.107
Netherlands,11636.499
Germany,50065.859
Italy,23502.312
Ireland,2060.134
Denmark,2226.657
Greece,2463.422
Portugal,4312.786
Spain,18476.512
Belgium,9274.392
Luxembourg,487.4
Iceland,1389.684
Norway,6094.071
Sweden,11349.805
Finland,9292.601
Austria,6941.117
Malta,63.758
Estonia,337.166
Latvia,921.406
Lithuania,898.67
Poland,13723.846
Czechia,5961.917
Slovakia,2869.479
Hungary,3994.577
Romania,4958.0
Bulgaria,2454.736
Albania,403.808
Slovenia,1073.341
Croatia,1173.888
Bosnia and Herzegovina,0.0
North Macedonia,329.87
Montenegro,85.137
Serbia,2230.487
Cyprus,252.856
