Alabama	0.0	30.7	0.4	130.3	0.2	9.6	2.8	370.7	5.0	521.0	0.0	551.6	0.0	551.6
Alaska	0.0	0.5	1.1	35.8	(s)	119.9	0.5	30.8	0.0	188.6	0.0	189.0	0.0	189.0
Arizona	0.0	18.6	0.9	136.6	0.3	74.6	2.7	332.2	0.0	548.6	(s)	567.3	0.1	567.4
Arkansas	0.0	5.8	0.3	95.3	(s)	6.3	1.7	172.4	0.0	277.4	(s)	283.3	(s)	283.3
California	0.0	50.9	2.0	468.0	0.7	470.0	11.8	1,511.2	182.0	2,860.0	2.3	2,913.3	2.6	2,915.8
Colorado	0.0	9.8	0.6	124.5	0.3	73.8	2.4	288.7	0.0	490.6	0.3	500.7	0.4	501.1
Connecticut	0.0	6.3	0.1	38.1	0.2	10.1	1.1	168.0	0.0	218.1	0.6	224.9	0.9	225.9
Delaware	0.0	0.9	(s)	10.0	0.3	9.8	0.3	55.6	0.3	76.5	0.0	77.4	0.0	77.4
Dist. of Col.	0.0	1.9	0.0	2.3	(s)	0.0	0.1	11.2	0.0	13.6	0.9	16.3	1.4	17.7
Florida	0.0	24.1	2.6	278.5	0.8	311.9	7.4	1,041.5	69.9	1,714.1	0.3	1,738.4	0.4	1,738.8
Georgia	0.0	12.9	0.7	184.1	0.7	133.0	4.0	530.6	7.0	861.2	0.5	874.6	0.8	875.4
Hawaii	0.0	0.0	0.1	12.6	0.0	88.3	0.3	46.5	7.7	155.8	0.0	155.8	0.0	155.8
Idaho	0.0	7.7	0.3	58.0	(s)	10.3	0.9	92.5	0.0	162.2	0.0	169.9	0.0	169.9
Illinois	0.0	19.8	0.5	229.8	0.3	154.2	4.2	467.3	0.1	868.6	1.6	889.9	2.9	892.8
Indiana	0.0	11.7	0.4	180.8	0.3	22.3	3.2	345.7	1.7	557.3	(s)	569.0	0.1	569.1
Iowa	0.0	8.6	0.2	100.8	0.1	6.4	1.7	174.9	0.0	289.1	0.0	297.8	0.0	297.8
Kansas	0.0	15.8	0.3	102.0	(s)	8.2	1.5	137.3	0.0	251.1	0.0	266.9	0.0	266.9
Kentucky	0.0	27.2	0.2	128.3	0.1	87.3	2.3	249.8	0.0	469.9	0.0	497.2	0.0	497.2
Louisiana	0.0	286.4	0.3	156.7	0.3	20.5	2.8	247.2	39.4	469.4	(s)	755.8	(s)	755.9
Maine	0.0	2.0	0.1	27.4	(s)	3.9	0.6	73.0	0.4	105.7	0.0	107.6	0.0	107.6
Maryland	0.0	30.5	0.2	64.1	0.2	35.4	1.7	258.1	0.6	360.7	1.3	392.5	2.2	394.7
Massachusetts	0.0	8.7	0.4	60.6	0.1	61.5	1.8	282.9	1.4	409.2	1.0	419.0	1.5	420.5
Michigan	0.0	30.4	0.5	129.1	0.5	43.7	3.3	495.9	5.2	680.3	(s)	710.7	(s)	710.8
Minnesota	0.0	17.8	0.4	103.7	0.4	41.5	2.1	271.8	0.0	429.3	0.1	447.1	0.1	447.2
Mississippi	0.0	39.2	0.3	103.3	(s)	7.4	1.8	196.9	2.3	313.7	0.0	352.9	0.0	352.9
Missouri	0.0	4.8	0.4	139.2	0.2	26.5	2.9	367.5	(s)	539.0	0.1	543.9	0.2	544.1
Montana	0.0	2.6	0.2	42.1	(s)	6.8	0.7	63.1	0.0	112.9	0.0	115.6	0.0	115.6
Nebraska	0.0	5.6	0.2	83.3	(s)	6.1	1.2	101.8	0.0	194.1	0.0	199.7	0.0	199.7
Nevada	0.0	4.9	0.2	52.6	(s)	77.4	1.1	139.5	0.0	271.5	(s)	276.4	(s)	276.5
New Hampshire	0.0	0.1	0.1	16.4	(s)	4.3	0.5	78.8	0.0	100.3	0.0	100.5	0.0	100.5
New Jersey	0.0	8.3	0.3	110.0	0.2	98.9	2.9	395.2	26.5	634.6	0.9	643.8	1.5	645.2
New Mexico	0.0	12.3	0.2	96.1	(s)	8.6	1.4	110.4	0.0	217.7	0.0	230.0	0.0	230.0
New York	0.0	43.4	0.4	213.1	0.3	240.0	4.6	581.6	18.6	1,064.8	8.9	1,117.1	10.9	1,128.1
North Carolina	0.0	7.8	0.6	157.5	0.3	84.5	3.8	550.9	0.2	798.6	0.1	806.5	0.1	806.5
North Dakota	0.0	36.9	0.2	46.0	(s)	4.6	0.6	46.3	0.0	99.0	0.0	136.0	0.0	136.0
Ohio	0.0	59.0	0.5	218.5	0.3	52.8	4.3	532.3	0.1	812.5	0.1	871.6	0.2	871.8
Oklahoma	0.0	45.8	0.3	144.1	0.4	45.5	2.3	215.3	0.0	410.1	0.0	456.0	0.0	456.0
Oregon	0.0	9.5	0.4	85.2	0.2	28.0	1.5	167.1	0.8	296.0	0.1	305.5	(s)	305.6
Pennsylvania	0.0	60.0	0.4	210.8	0.6	56.7	4.2	509.6	1.5	787.7	1.8	849.5	2.9	852.5
Rhode Island	0.0	3.2	(s)	10.5	(s)	2.1	0.3	40.9	(s)	54.0	0.1	57.2	0.1	57.3
South Carolina	0.0	2.7	0.3	115.6	0.3	17.7	2.5	313.1	10.8	460.9	0.0	463.6	0.0	463.6
South Dakota	0.0	6.7	0.1	33.6	(s)	4.2	0.6	56.1	0.0	95.3	0.0	102.0	0.0	102.0
Tennessee	0.0	19.3	0.5	160.6	0.1	85.4	3.2	392.3	0.1	644.5	0.0	663.8	0.0	663.8
Texas	0.0	220.0	2.0	885.6	1.2	282.4	16.5	1,679.5	166.5	3,047.3	0.6	3,268.0	0.8	3,268.8
Utah	0.0	12.7	0.3	78.6	(s)	45.6	1.4	141.3	0.0	267.5	0.2	280.3	0.3	280.6
Vermont	0.0	(s)	(s)	8.4	(s)	1.3	0.2	32.1	(s)	42.1	0.0	42.2	0.0	42.2
Virginia	0.0	15.4	0.4	150.7	0.2	122.6	3.3	436.9	2.7	717.6	0.4	733.5	0.7	734.2
Washington	0.0	18.9	0.6	122.4	0.4	101.6	2.8	292.8	79.3	601.6	0.4	620.9	0.2	621.1
West Virginia	0.0	36.0	0.1	64.0	(s)	1.0	1.0	89.2	0.0	155.7	0.0	191.7	0.0	191.7
Wisconsin	0.0	4.6	0.3	120.4	0.3	11.4	2.4	298.4	(s)	435.3	(s)	439.9	(s)	439.9
Wyoming	0.0	13.3	0.1	53.3	(s)	2.0	0.7	35.0	0.0	91.3	0.0	104.6	0.0	104.6

United States	0.0	1,322.2	22.3	6,379.2	11.1	3,227.9	129.9	15,519.3	630.1	26,256.1	22.5	27,600.8	31.2	27,632.0
